total_bienes_final,total_bienes_inicio
1199800.21,1006935.79
505177.06,434454.75
2862043.3,2275473.29
2225806.97,1600085.0
261076.55,256931.0
458634.62,494800.0
1050523.86,1104668.9
594471.2,1123366.55
2041442.49,705503.03
4134462.42,3708519.89
0.0,0.0
218488.18,255406.94
335000.0,330000.0
2253442.45,2057248.23
1593325.22,1487881.32
467573.06,306303.5
74850.0,110456.0
89904.01,78707.01
0.0,0.0
201773.0,321321.29
675233.5,675233.5
910189.01,821581.75
4925379.75,4344243.08
657003.27,491270.15
1018694.74,872774.46
297824.85,300012.32
877791.48,403698.23
2101565.59,1906068.8
0.0,0.0
366735.07,350457.34
552176.0,438000.0
527807.35,394028.46
2564304.14,2312635.03
411997.54,284493.71
3417778.15,2351324.45
294208.0,292133.0
698266.82,616828.8
302902.0,302102.0
666259.07,377942.8
642666.65,614669.65
579370.71,506903.71
619361.0,775459.07
417550.04,467072.95
1063069.11,290463.25
2249004.87,1580465.86
1012945.94,452271.58
1628624.49,1426097.5
0.0,210113.5
396197.0,262515.51
1408403.37,1101128.29
330193.03,344657.83
290192.17,0.0
85.0,25.0
1088807.48,733886.19
413468.51,339903.4
576637.0,591265.65
0.0,40973.86
393100.0,393100.0
5969472.41,7823056.89
318204.3,283853.8
799963.78,712204.45
0.0,456731.82
792736.65,236039.85
340772.65,314003.58
628555.53,143233.59
1166340.9,651213.4
715351.36,863555.58
215600.95,192464.0
92231.73,87669.63
16459300.71,9217871.15
0.0,370700.0
1013809.9,733424.32
843608.33,830128.97
2557262.73,2174338.13
772265.88,544446.66
1523131.94,1057026.64
1960621.29,920376.66
1072780.5,931221.75
262837.02,326025.0
1123655.91,719752.0
953125.03,643470.72
607766.5,52328.0
0.0,233709.96
0.0,222500.0
1333314.18,1199150.83
144235.0,334794.0
444968.0,373134.5
878243.87,235759.93
1116504.67,802022.15
221084.59,206616.5
748862.05,495683.32
735000.0,688000.0
624301.52,461076.06
160305.74,136808.06
8987622.8,6957882.71
0.0,28122.0
13993935.12,12883418.44
4619057.66,4139702.01
295861.37,0.0
792725.96,622769.4
3073964.18,1243101.84
1308490.48,938974.49
251587.4,49842.74
1834177.16,1385638.83
894092.67,557494.75
235000.0,12000.0
287900.0,287900.0
181503.98,112777.5
6268214.91,1797318.34
228000.0,117000.0
1703821.63,1098599.34
421739.27,256054.01
156000.0,45958.18
1526793.0,859479.02
706923.1,412470.56
1064833.86,782982.64
2505931.79,1556098.42
1708386.94,905490.92
188942.8,96497.1
1204162.43,1153232.74
3816336.98,3460607.21
1436953.29,1025521.26
2739705.48,687731.04
113000.0,143684.65
566099.0,521370.0
0.0,223000.0
272153.34,11941.85
420264.36,117053.68
1717357.14,1543973.76
3759852.07,2924507.39
1961207.64,3205914.16
78834.0,20156.0
282516.88,72259.0
4385140.84,3311291.36
148082.0,61950.0
760770.69,375644.69
0.0,0.0
404463.51,248725.83
160139.0,15207.59
400000.0,300000.0
6206.31,12407.87
342801.21,341963.37
565200.0,539100.0
200091.67,143044.8
398312.38,390049.79
165203.97,215119.24
1870937.45,750241.67
0.0,120000.0
762530.01,381133.0
665523.98,352679.8
425337.32,301516.6
374990.69,225484.38
293805.6,262108.0
372504.13,305272.11
963914.2,637777.44
1012971.39,875697.9
1267962.37,1427500.64
199173.45,499274.8
594067.5,296563.1
1506329.44,1275275.81
546904.61,310645.69
2227205.43,2009603.64
1287319.0,556312.63
381550.0,261165.0
523638.07,445466.03
1482676.61,1189213.75
509858.0,363402.0
861516.04,311322.38
0.0,0.0
266472.49,28459.36
1630045.52,1238208.35
125000.0,60000.0
585808.16,513927.0
2631642.97,1725184.43
187379.2,289800.0
345000.0,313000.0
328005.9,285422.55
46206.33,5000.0
2412073.89,1962579.46
31790079.87,14220280.43
1101602.08,813001.01
2189070.0,1483640.0
193375.78,23256.86
283000.0,280834.0
576465.63,460678.12
630548.0,281131.75
1063134.54,1080627.39
642636.14,307204.3
954084.9,630923.84
3877690.99,3521432.85
188300.0,212250.0
721652.42,722391.61
4915877.21,3019377.27
886536.8,455056.0
223245.0,35895.19
1004078.55,1275398.19
590150.98,387234.04
1049011.63,840244.4
1090940.48,903129.07
626278.36,603497.89
12370924.82,9144185.18
620128.5,298931.5
421907.8,352380.81
774563.93,396885.9
354513.84,222483.68
2783238.56,2111911.97
337685.63,305869.43
737078.5,646586.73
232370.0,157500.0
0.0,0.0
625000.0,1275000.0
5833329.56,4559415.12
8739577.48,3868479.84
295093.45,204801.45
3959518.5,2489742.0
255777.02,219050.38
1629563.98,813646.8
1595139.3,1022485.64
96620.57,95592.25
511650.0,365788.0
914403.6,780650.14
2239983.84,2154883.6
5133591.67,3626051.55
300000.0,300000.0
518121.87,296139.41
467250.0,353629.0
287660.0,0.0
852013.1,473284.78
0.0,0.0
9038292.25,5773137.42
1287256.8,795830.1
14844958.24,11302912.23
470722.81,303131.39
659596.21,500257.54
714247.74,582074.56
421245.65,539040.6
2171346.5,1438395.33
1495707.78,1199954.51
192000.0,170000.0
2557444.1,1583447.71
529186.22,482255.2
1542071.08,1214623.23
580510.71,628637.62
924569.33,717343.91
958112.17,784345.44
353490.03,231074.95
1967885.49,1122364.69
