espacio_cultural_id,provincia_id,localidad_id,provincia,localidad,nombre,direccion,codigo_postal,codigo_indicativo_telefono,telefono,mail,informacion_adicional,latitud,longitud,fuente,numero_de_registro_en_conabip
110001,38,38063180,Jujuy,San Pedro de Jujuy,Biblioteca Pública Popular y Escolar Ernesto Sábato,Miguel Araoz 220,4500,0884,20303,bibernestosabato@hotmail.com,Se fundó en el año 1930,-24.23445,-64.8689,CONABIP,2699
110002,06,06413050,Buenos Aires,Junín,Biblioteca Popular Paz y trabajo,Primera Junta 301,6000,0362,20625,s/d,Se fundó en el año 1923,-34.582617,-60.935967,CONABIP,1054
110003,06,06623100,Buenos Aires,Pergamino,Biblioteca Popular Tec. Manuel Belgrano,Av.Roca 1425,2700,0477,23649,s/d,Se fundó en el año 1958,-33.889817,-60.58125,CONABIP,2753
110004,06,06210020,Buenos Aires,Chacabuco,Biblioteca Popular Domingo Faustino Sarmiento,San Martín 38,6470,0352,27094,biblioteca@cech.com.ar,Se fundó en el año 1907,-34.64215,-60.470367,CONABIP,1381
110005,46,46014010,La Rioja,La Rioja,Biblioteca Popular Juan Ramirez de Velazco,Av.Perón 820,5300,0822,27805,bibliotecavelasco@gmail.com,Se fundó en el año 1956,-29.42325,-66.861017,CONABIP,2687
110006,06,06791050,Buenos Aires,Tandil,Biblioteca Popular Juan B. Justo,Las Heras 810,7000,0293,29590,s/d,Se fundó en el año 1928,-37.319233,-59.13715,CONABIP,1612
110007,74,74056150,San Luis,San Luis,Biblioteca Popular Dos Venados,Avda. Fuerza Area 3051,5700,011,35080,bibliotecapopular2venados@hotmail.com,Se fundó en el año 1995,-33.276817,-66.344033,CONABIP,3488
110008,74,74035020,San Luis,Juan Llerena,Biblioteca Popular Hugo Arnaldo Fourcade,Avda. Celeste Filipuzziex B.  Mitre,5735,2652,45200,bpfourcade@yahoo.com.ar,Se fundó en el año 1997,-33.272091,-65.602112,CONABIP,4055
110009,74,74021090,San Luis,Saladillo,Biblioteca Popular Biblioteca Popular,Sin dirección,5751,2652,51004,marthaag_05@hotmail.com,Se fundó en el año 1930,-33.201467,-65.853517,CONABIP,3444
110010,90,90028030,Tucumán,Famailla,Biblioteca Popular Manuel Lainez,Bartolomé Mitre 265,4132,0863,61065,wzalazar@correo.inta.gov.ar,Se fundó en el año 1932,-27.053533,-65.4056,CONABIP,1611
110011,14,14182190,Córdoba,Noetinger,Biblioteca Popular San Carlos,Av.Centenario 321,X2563AME,0472,70126,bibliotecaclubsancarlos@hotmail.com,Se fundó en el año 1954,-32.366833,-62.310367,CONABIP,2623
110012,82,82035020,Santa Fe,Helvecia,Biblioteca Popular Escolar José Manuel Estrada,Mitre 631,3003,0405,70137,s/d,Se fundó en el año 1954,-31.101633,-60.094533,CONABIP,2728
110013,14,14098100,Córdoba,Coronel Moldes,Biblioteca Popular Belgrano,Mitre 13,5847,0582,81912,s/d,Se fundó en el año 1934,-33.626717,-64.593383,CONABIP,1821
110014,18,18042020,Corrientes,Empedrado,Biblioteca Popular Escolar Popular,Alvear 343,3418,0783,91083,s/d,Se fundó en el año 1911,-27.952583,-58.806617,CONABIP,1373
110015,62,62042450,Río Negro,General Roca,Biblioteca Popular Ruca Quilcatuve,Av.Viterbori,8332,0941,92041,biblrucaquillcatuve@yahoo.com.ar,Se fundó en el año 1930,-39.047467,-67.579767,CONABIP,3361
110016,06,06021070,Buenos Aires,Coronel Mom,Biblioteca Popular Florentino Ameghino,9 de Julio 92,6628,0346,92061,bibl_popular@yahoo.com.ar,Se fundó en el año 1947,-34.841675,-60.304981,CONABIP,2381
110017,62,62021030,Río Negro,El Bolsón,Biblioteca Popular Dr. Venzano,Madre Teresa s/n-Bº Esperanza,8430,0944,92304,bibliotecavenzano@yahoo.com.ar,Se fundó en el año 1930,-41.96777,-71.515511,CONABIP,3224
110018,82,82007060,Santa Fe,Tortugas,Biblioteca Popular José Ingenieros,Urquiza 181,2512,0471,94020,bibliotortugas@sicomnet.com.ar,Se fundó en el año 1930,-32.7469,-61.820433,CONABIP,1600
110019,46,46084030,La Rioja,Milagro,Biblioteca Popular Silvestre Hipólito Fernández,Sarmiento 267,5274,0826,97104,s/d,Se fundó en el año 1982,-31.017151,-65.983887,CONABIP,3018
110020,70,70028010,San Juan,San Juan,Biblioteca Popular José Chirapozu,Avda. Libertador 248 (o,5400,0264,228716,bibchirapozu@yahoo.com.ar,Se fundó en el año 1918,-31.534567,-68.529567,CONABIP,1510
110021,70,70084010,San Juan,Rivadavia,Biblioteca Popular Miguel Beato Tejada,Granaderos Casa 15 manzana 7,5400,0264,232673,biblio_mtejada@hotmail.com,Se fundó en el año 1988,-31.55389,-68.652496,CONABIP,3223
110022,54,54028030,Misiones,Posadas,Biblioteca Popular Sur Argentino,Península de Valdez 3950,3300,3752,249507,bpsurargentino@yahoo.com,Se fundó en el año 2001,-27.382567,-55.913433,CONABIP,4258
110023,62,62070020,Río Negro,Dina Huapi,Biblioteca Popular Asociación Cultural Dina Huapi,Los Radales 598,8402,2944,257155,bibpopdh@bariloche.com.ar,Se fundó en el año 1996,-41.0782,-71.177933,CONABIP,3930
110024,86,86049110,Santiago del Estero,Santiago del Estero,Biblioteca Popular Francisca Jacques,Av. Belgrano Sud 3234,4200,011,312003,s/d,Se fundó en el año 1942,-27.814767,-64.248617,CONABIP,2262
110025,82,82084270,Santa Fe,Rosario,Biblioteca Popular Casa de Luxemburgo,Pasco 4624,2000,0344,335814,bpcasalux@yahoo.com.ar,Se fundó en el año 2000,-32.950933,-60.68965,CONABIP,3980
110026,42,42021020,La Pampa,Santa Rosa,Biblioteca Popular Miguel Angel Gomez Drumell,Convenci¢n Provincialista 504,6300,s/d,387678,s/d,Se fundó en el año 2009,-36.603533,-64.274867,CONABIP,4270
110027,34,34049040,Formosa,Palma Sola,Biblioteca Popular Julio Cortázar,Zona Rural,3611,3717,400521,s/d,Se fundó en el año 1993,-23.633329,-61.366661,CONABIP,3269
